time	V(drain)	V(drain)/Id(M1)
1.165143749948856e-008	3.747586e-001	7.545847e+003
1.282331249948857e-008	3.176272e-001	6.660159e+003
1.379987499948858e-008	2.721971e-001	6.021569e+003
1.477643749948858e-008	2.296338e-001	5.490380e+003
1.575299999948858e-008	1.907510e-001	5.058721e+003
1.653424999948857e-008	1.626980e-001	4.774777e+003
1.731549999948856e-008	1.375431e-001	4.537314e+003
1.799909374948856e-008	1.179446e-001	4.362464e+003
1.868268749948855e-008	1.005558e-001	4.214199e+003
1.926862499948854e-008	8.733956e-002	4.105565e+003
1.985456249948854e-008	7.559475e-002	4.011818e+003
2.044049999948853e-008	6.522244e-002	3.931119e+003
2.102643749948853e-008	5.611395e-002	3.861814e+003
2.161237499948852e-008	4.815591e-002	3.802420e+003
2.210065624948852e-008	4.232087e-002	3.759540e+003
2.258893749948851e-008	3.714127e-002	3.721940e+003
2.307721874948851e-008	3.255518e-002	3.689006e+003
2.356549999948850e-008	2.850381e-002	3.660188e+003
2.405378124948850e-008	2.493211e-002	3.634992e+003
2.454206249948849e-008	2.178898e-002	3.612982e+003
2.503034374948849e-008	1.902744e-002	3.593767e+003
2.551862499948848e-008	1.660462e-002	3.577004e+003
2.600690624948848e-008	1.448164e-002	3.562388e+003
2.649518749948847e-008	1.262346e-002	3.549649e+003
2.698346874948847e-008	1.099863e-002	3.538552e+003
2.747174999948846e-008	9.579069e-003	3.528888e+003
2.796003124948846e-008	8.339775e-003	3.520475e+003
2.844831249948846e-008	7.258568e-003	3.513154e+003
2.893659374948845e-008	6.315825e-003	3.506785e+003
2.942487499948845e-008	5.494228e-003	3.501244e+003
2.991315624948845e-008	4.778524e-003	3.496425e+003
3.040143749948846e-008	4.155304e-003	3.492235e+003
3.088971874948847e-008	3.612800e-003	3.488592e+003
3.147565624948849e-008	3.053906e-003	3.484844e+003
3.206159374948850e-008	2.581042e-003	3.481676e+003
3.264753124948851e-008	2.181088e-003	3.478999e+003
3.323346874948853e-008	1.842891e-003	3.476737e+003
3.381940624948854e-008	1.556977e-003	3.474826e+003
3.450299999948856e-008	1.278837e-003	3.472968e+003
3.518659374948858e-008	1.050284e-003	3.471442e+003
3.587018749948859e-008	8.625105e-004	3.470189e+003
3.665143749948861e-008	6.886008e-004	3.469029e+003
3.753034374948863e-008	5.344552e-004	3.468001e+003
3.850690624948866e-008	4.032674e-004	3.467126e+003
3.958112499948868e-008	2.958096e-004	3.466410e+003
4.075299999948871e-008	2.109453e-004	3.465845e+003
4.221784374948875e-008	1.382257e-004	3.465360e+003
4.397565624948879e-008	8.322708e-005	3.464994e+003
4.631940624948885e-008	4.231283e-005	3.464722e+003
4.993268749948893e-008	1.491118e-005	3.464539e+003
5.764753124948912e-008	1.608212e-006	3.464450e+003
9.817487499949010e-008	1.335334e-011	3.464447e+003
9.993268749949014e-008	8.038830e-012	3.464441e+003
1.000000000000000e-007	7.883057e-012	3.566780e+003
Step Information: Vdd=1.1  (Run: 7/14)
0.000000000000000e+000	1.100000e+000	1.521732e+004
9.765624960978488e-016	1.100000e+000	1.521911e+004
1.953124992195698e-015	1.100000e+000	1.521970e+004
5.401437499488532e-009	7.182373e-001	1.041344e+004
8.428781249488537e-009	5.130621e-001	7.731013e+003
9.893624999488548e-009	4.172907e-001	6.499237e+003
1.087018749948856e-008	3.556734e-001	5.755403e+003
1.165143749948856e-008	3.084712e-001	5.239941e+003
1.243268749948857e-008	2.639662e-001	4.808133e+003
