time	Ig(M1)
Step Information: Vdd=-1.8  (Run: 1/37)
2.736325345388838e-001	-2.659147e-016
2.745740676706674e-001	-3.443567e-016
2.756325345388839e-001	-2.659147e-016
2.765740676706674e-001	-3.443567e-016
2.776325345388838e-001	-2.659147e-016
2.785740676706673e-001	-3.443567e-016
2.796325345388838e-001	-2.659147e-016
2.805740676706675e-001	-3.443567e-016
2.816325345388838e-001	-2.659147e-016
2.825740676706673e-001	-3.443567e-016
2.836325345388838e-001	-2.659147e-016
2.845740676706672e-001	-3.443567e-016
2.856325345388838e-001	-2.659147e-016
2.865740676706675e-001	-3.443567e-016
2.876325345388838e-001	-2.659147e-016
2.885740676706673e-001	-3.443567e-016
2.896325345388838e-001	-2.659147e-016
2.905740676706674e-001	-3.443567e-016
2.916325345388838e-001	-2.659147e-016
2.925740676706673e-001	-3.443567e-016
2.936325345388837e-001	-2.659147e-016
2.945740676706676e-001	-3.443567e-016
2.956325345388839e-001	-2.659147e-016
2.965740676706674e-001	-3.443567e-016
2.976325345388839e-001	-2.659147e-016
2.978241870394902e-001	1.774091e-016
2.984737790217868e-001	-3.725958e-016
3.001325345388839e-001	2.659086e-016
3.010740676706674e-001	3.443522e-016
3.020740676706674e-001	3.443522e-016
3.030740676706673e-001	3.443522e-016
3.040740676706674e-001	3.443522e-016
3.050740676706674e-001	3.443522e-016
3.060740676706674e-001	3.443522e-016
3.070740676706674e-001	3.443522e-016
3.080740676706673e-001	3.443522e-016
3.090740676706673e-001	3.443522e-016
3.100740676706674e-001	3.443522e-016
3.110740676706674e-001	3.443522e-016
3.120740676706673e-001	3.443522e-016
3.130740676706673e-001	3.443522e-016
3.140740676706674e-001	3.443522e-016
3.150740676706674e-001	3.443522e-016
3.160740676706674e-001	3.443522e-016
3.170740676706673e-001	3.443522e-016
3.180740676706673e-001	3.443522e-016
3.190740676706673e-001	3.443522e-016
3.200740676706673e-001	3.443522e-016
3.210740676706677e-001	3.443522e-016
3.220740676706671e-001	3.443522e-016
